==============================================================================
M3 — THE TOPOLOGY CURVES
==============================================================================

★ PER ARM — the whole run in one row

arm             it  b0 first  b0 last  b0 max  NEW tot  SPLIT tot  viol  revert  chi last  b1 last  cav
-------------------------------------------------------------------------------------------------------
MN_nucleating   60        87       41     518      263       -309    52       0       -89      135    5
MA_holes8       60        87       11     522      152        -72    52       0       -96      109    2
MC_stress       60         8        4       8      256         -2    57       0        -3        7    0
MB_gyr12        60        15       10     166       91        -10    45       0       -37       47    0
MB_gyr20        60        15        6      40       71          6    43       0       -15       21    0
MA_poor12       60       490        9     490      130       -479    53       0       -83       93    1
MA_rich6        60      1268       14    1268      207      -1235    47       0       -40       56    2
MA_phase        60        95       15     525      179        -72    53       0      -110      127    2

★ b0 = void components. NEW = components sharing no voxel with any
  previous void. SPLIT = the rest of the change in b0, i.e. existing void
  fragmenting as solid bridges across it. b1 = tunnels = b0 + b2 - chi.

==============================================================================
MN_nucleating — per iteration
==============================================================================
 it     b0  d(b0)   NEW  SPLIT     chi     b1  cav  viol  rev    compliance
 11    348    -13     4    -13     229    187   68     7    0  0.0027550740
 12    336    -12     4    -12     207    196   67     8    0  0.0027209277
 13    334     -2     4     -1     171    231   68     9    0  0.0026724961
 14    338     +4     1      3     159    247   68    10    0  0.0026302668
 15    320    -18     1    -17     122    282   84    11    0  0.0026107662
 16    269    -51     2    -51     121    255  107    12    0  0.0025949392
 17    236    -33     5    -33      56    284  104    13    0  0.0025808984
 18    186    -50     0    -50      13    270   97    13    0  0.0025718157
 19    116    -70     0    -70     -79    251   56    13    0  0.0025653400
 20     82    -34     2    -36    -119    238   37    14    0  0.0025603472
 21     59    -23     0    -23     -84    175   32    14    0  0.0025556691
 22     56     -3     2     -2    -117    203   30    15    0  0.0025528438
 23     51     -5     4     -4    -131    210   28    16    0  0.0025501752
 24     51     +0     2     -1    -131    209   27    17    0  0.0025475861
 25     47     -4     2     -4    -138    210   25    18    0  0.0025460255
 26     43     -4     3     -4    -106    172   23    19    0  0.0025450036
 27     39     -4     6     -4    -113    174   22    20    0  0.0025431304
 28     39     +0     1     -1    -123    185   23    21    0  0.0025421166
 29     41     +2     1      2    -128    190   21    22    0  0.0025398543
 30     41     +0     2      0    -117    178   20    23    0  0.0025395873
 31     30    -11     1    -11    -111    159   18    24    0  0.0025391407
 32     29     -1     6     -1    -107    152   16    25    0  0.0025380545
 33     31     +2     5      3    -114    161   16    26    0  0.0025375133
 34     32     +1     4      1    -108    155   15    27    0  0.0025365247
 35     29     -3     3     -3    -124    169   16    28    0  0.0025357999
 36     22     -7     2     -7    -109    141   10    29    0  0.0025366374
 37     23     +1     4      2    -116    148    9    30    0  0.0025364371
 38     22     -1     4     -1    -115    146    9    31    0  0.0025356528
 39     18     -4     4     -2    -125    152    9    32    0  0.0025349492
 40     21     +3     1      3    -121    151    9    33    0  0.0025343829
 41     19     -2     4     -1    -109    136    8    34    0  0.0025358012
 42     21     +2     3      2    -106    134    7    35    0  0.0025338461
 43     16     -5     4     -2    -120    143    7    36    0  0.0025335159
 44     19     +3     2      3    -115    141    7    37    0  0.0025323860
 45     14     -5     3     -5    -119    140    7    38    0  0.0025318740
 46     15     +1     1      1    -101    121    5    39    0  0.0025330148
 47     15     +0     4      1    -106    125    4    40    0  0.0025326554
 48     14     -1     2     -1    -105    122    3    41    0  0.0025314066
 49     14     +0     1      0    -114    131    3    42    0  0.0025306419
 50     14     +0     3      1    -108    124    2    43    0  0.0025305284
 51     15     +1     4     -1     -96    114    3    44    0  0.0025313834
 52     13     -2     1     -2     -94    110    3    45    0  0.0025299221
 53     15     +2     1      2    -101    118    2    46    0  0.0025299129
 54     11     -4     4     -3    -102    114    1    47    0  0.0025295061
 55     16     +5     2      5    -105    122    1    48    0  0.0025292032
 56     10     -6     3     -6     -88    101    3    49    0  0.0025304490
 57     12     +2     2      2     -96    110    2    50    0  0.0025297529
 58     10     -2     3     -1     -98    110    2    51    0  0.0025295900
 59     12     +2     3      2    -102    116    2    52    0  0.0025295785
 60     11     -1     0     -1     -96    109    2    52    0  0.0025290635

==============================================================================
MC_stress — per iteration
==============================================================================
 it     b0  d(b0)   NEW  SPLIT     chi     b1  cav  viol  rev    compliance
  1      8            0      0       3      5    0     0    0  0.0046551539
  2      3     -5     5     -2      -1      4    0     1    0  0.0045959449
